泰北紅咖哩牛|149|muscle|1001-1.jpg,1001-2.jpg|main|869|99|44|33|25|人氣泰式料理之一的「紅咖哩」，以紅辣椒與南薑、香茅、紅蔥頭、大蒜等辛香料敲打成為微辣而濃郁的紅咖哩醬，搭配蜂鳥食堂經典的牛肋條一起烹煮，烘烤過後的牛肋條，肉香四溢，加入泰式紅咖哩醬一起拌炒後，再倒入香甜的椰漿燉煮，經過小火慢燉後，泰式咖哩的香氣濃郁迷人，泰式辛香料豐富的層次，讓人吃一口就陷入道地的迷人滋味。|31,32,34,26,6
五香鹹豬肉|129|muscle|1002-1.jpg,1002-2.jpg|main|1034|99|33|55|25|鹹豬肉」是經典客家料理之一，嚴選去皮五花肉，秉持「減油、減鹽」的理念，不使用過多調料，以原型食材烹調，推出改良版「五香鹹豬肉」，主廚將黑胡椒、米酒等醃料均勻塗抹於五花肉上，醃製一晚後，讓經典好味道，滲入肉質中，隔日，將醃料過後的客家鹹豬肉，經過烤箱烘烤，表面烤至微焦，逼出多餘的油脂，五香香氣陣陣飄散，鹹香入味，讓你透過這道經典的美味料理，感受濃濃的客家情懷。|31,32,26,2,7
哈妮BBQ烤雞腿|129|muscle|1003-1.jpg,1003-2.jpg|main|924|121|33|33|25|時間轉眼過馬上就到值得期待的午餐時間！打開餐盒空氣中飄出陣陣香氣，微辣的醬汁刺激食慾搭配溫潤的蜂蜜中和，刷上去骨雞腿肉烘烤入味，軟嫩的雞肉閃著琥珀色的光澤外皮，一口咬下，雞皮與肉汁一起滑過嘴裡，這種停不下來的美味，肚子咕嚕咕嚕的等不及啦！|31,32,26,7,14
牛雞雙拼貓飯|185|muscle|1012-1.jpg,1012-2.jpg|main|813|94|47|6|25|富含天然肌酸的牛腱搭配經典的雞胸肉，是增肌減脂的好夥伴。牛肉含有大量的肌酸能幫助肌肉成長，而牛腱又是牛肉中脂肪最低的部位。低GI五穀米搭配豐富足量的蔬菜，非常適合想要增肌減脂的健身朋友。健身貓飯含有鸚嘴豆低GI、且不枯燥!|31,32,26,6,34,37
玫瑰岩鹽烤雞|129|keep|1004-1.jpg,1004-2.jpg|main|781|88|33|33|25|在這個吃什麼都有點不安心的氛圍中，我們想把新鮮食材用簡單純粹的方式呈現給你，希望在享受美味的同時，悄悄地讓你吃到更多蔬菜，讓這一餐的營養更均衡。想給你健康原味的信念如此堅定！主廚用心研發出簡單料理卻滋味豐富的主菜！「玫瑰鹽烤雞」採用口感軟嫩的帶皮雞腿肉，經過細心處理，撒以黑胡椒粒與些許玫瑰鹽，放入烤箱，耐心等待～香嫩多汁的「玫瑰岩鹽烤雞」便即刻登場！|31,32,26,10,14
炙燒松阪豬|139|keep|1006-1.jpg,1006-2.jpg|main|737|88|33|22|25|主廚嚴選豬肉界頂級代表「松阪豬」，口感滑嫩爽脆又不失嚼勁、油花分布均勻，使用米酒醃料入味，以炙燒方式帶出松阪豬肉最原始的鮮甜味，最後撒上香氣十足的七味粉佐以陪襯，炙燒的不只是迷人的松阪豬，是一份來自蜂鳥的用心。|31,32,26,5,1
鹽烤鯖魚|139|keep|1005-1.jpg,1005-2.jpg|main|770|121|33|33|25|在忙碌的生活裡，不只是想要提供給您健康、安心的美味，也想用美食帶給忙碌的你那一點感動。主廚嚴選新鮮鯖魚，鯖魚富含EPA、DHA等脂肪酸，可降低血脂肪、膽固醇及預防心血管疾病。「鹽烤鯖魚」在鯖魚的魚皮表面畫上幾刀，塗抹少許葵花油，使表皮能夠烤的香香脆脆，在主廚精準溫度掌控的烘烤過後(有少許魚刺，要注意喲），魚肉香氣逼人，擠上一顆金桔作調味，肉嫩多汁的鹽烤鯖魚，簡單卻又不平凡的美味，撫慰了疲憊的靈魂。|31,32,26,5,35
香椿醬烤豆包|110|keep|1011-1.jpg,1011-2.jpg|main|781|99|44|22|25|蔬食料理中少了肉類，讓時常外食、大魚大肉的腸胃也少了一些負擔，獨特的醬汁重點在於主廚調製的香椿醬，甜甜香香的獨特風味，更能引出你的食慾，在層層堆疊起的豆包上下塗上厚厚的醬料，柔滑香醇的口感與甜鹹醬汁完美結合！|31,32,26,6,28
蔥爆銀芽肉絲|99|fit|1007-1.jpg,1007-2.jpg|main|616|88|33|11|25|人不僅在心靈匱乏時覺得孤獨，當胃袋空空，一種委屈寂寞的心情也油然而生，那一瞬間想 到的不是山珍海味，而是最樸實懷念的味道。給小資月底的暖心選擇～99元餐登場！ 「蔥爆銀芽肉絲」依然講究多蔬食的營養宗旨，給您豐富的配菜。|31,32,26,9,2
小茴香烤鮑菇|110|fit|1008-1.jpg,1008-2.jpg|main|539|99|11|11|25|名列暖胃補身的食材之一「小茴香」，雖然是個彷彿小白花一般的名稱，但它也有著另一個我們更熟悉且適合他本質的稱呼 -「孜然」，強烈又富有異國情調的神秘香氣，在品嚐之前，便用氣味引誘出無數人的食慾。先煎後烤鎖住杏鮑菇的原汁原味，天然的甜香與濃郁的香料氣息，佐和了彈嫩的嚼感，愉悅的口感在口中逐漸綻放！|31,32,26,8,36
