(盤克夏)絞肉|120|brute|001-1.jpg,001-2.jpg|祥興牧場|300克±10%/包|25|盤克夏(Berkshire)同鹿耳島六白豬豬種，油脂分布均勻、肉質細嫩，絞肉適各種料理。|環保無污染畜牧|冷凍-18℃以下保存
(台灣黑豬)Q彈絞肉|120|brute|002-1.jpg,002-2.jpg|祥興牧場|300克±10%/包|25|祥興牧場設置「水簾負壓降溫系統」，具有降低氨氣含量及降溫的效果。豬隻在良好的環境下生長，食慾好更健康，豬肉品質更優良。黑豬肉質扎實，適合燉肉、滷肉等長時間烹煮的料理。|環保無污染畜牧|冷凍保存
(金門牛)炒肉絲|275|brute|003-1.jpg,003-2.jpg|良金牧場|300克±10%/包|25|餵青草與酒糟長大的金門牛，肉質軟嫩香甜更勝進口牛肉。金門良金牧場針對國人的飲食習慣，量身訂做部分熟成的處理。熟成的原理，是在低溫接近攝氏零度的狀態下，利用牛肉本身帶有的酵素分解肌肉中的膠原組織和纖維，使牛肉軟化。然而發酵過程當中會消耗糖份，讓牛肉原本富含的甜度和風味稍稍流失。不論熟成與否，口感皆各有特色。金門牛炒肉絲特別採用非熟成部位，凸顯金門酒糟牛獨有的甘甜與香氣。建議烹煮前先以醬油、蛋白、太白粉醃10分鐘再料理，並以大火快炒起鍋，保持牛肉軟嫩口感。|環保無污染畜牧|冷凍-18℃以下保存
(金門牛)牛腩|290|brute|004-1.jpg,004-2.jpg|良金牧場|300克±10%/包|25|餵青草與酒糟長大的金門牛，肉質軟嫩香甜更勝進口牛肉。牛腩是牛腹部下的側肉，帶有筋、肉、油花的部位，適合燉煮。燉煮前先以熱水汆燙後切塊，爆香薑片、蔥段及所有調味料炒香，加入牛腩加水蓋過食材，蓋鍋小火燉2小時後，可再加入紅蘿蔔塊或馬鈴薯一起續燉20分鐘即可。|環保無污染畜牧|冷凍-18℃以下保存
(盤克夏)前腿肉絲|125|brute|010-1.jpg,010-2.jpg|祥興牧場|300克±10%/包|25|盤克夏(Berkshire)同鹿耳島六白豬豬種，油脂分布均勻、肉質細嫩，脂肪較少，口感扎實。適合拌炒。|環保無污染畜牧|冷凍-18℃以下保存
小白菜|40|vegetable|005-1.jpg|佳雨農場|250克±10%/包|25|葉色淡綠，葉面皺褶明顯，口感軟嫩，適合清炒、煮湯。建議大火快炒即可盛盤，避免營養成分流失。|有機認證|冷藏
包心白菜|98|vegetable|006-1.jpg,006-2|佳雨農場|700克±10%/顆|25|包心白菜屬十字花科植物，又稱為大白菜。含有胡蘿蔔素、維他命C、鈣、鉀、鎂等礦物質，因包心白菜屬於涼性食物，建議搭配薑片烹煮，可緩和其涼性。包心白菜料理多元，適合清炒、煮湯、燉滷等，也可以醃漬韓式或台式泡菜。|無毒|冷藏
黑葉白菜|40|vegetable|007-1.jpg,007-2.jpg|仁和農場|250克±10%/包|25|黑葉白菜，又名廣東白菜。含有蛋白質、維生素Ｂ群、Ｃ，及鉀、鈣、鐵等礦物質。黑葉白菜葉呈深綠莖為白，莖的部分含水份，切大塊加薑絲或蒜粒大火快炒，不要炒太久，才能吃到清脆口感。|有機認證|冷藏
油菜|40|vegetable|008-1.jpg,008-2.jpg|佳雨農場|250克±10%/包|25|富含維生素A、C、E及鈣。口感清脆，適合清炒、汆燙。|有機認證|冷藏
千寶菜|40|vegetable|009-1.jpg,009-2.jpg|佳雨農場|250克±10%/包|25|千寶菜外形似芥藍，是北方特有的一種野菜。富含維生素C、胡蘿蔔素和鈣、鐵等營養。千寶菜沒有野菜的苦澀，質地脆嫩，吃起來如菜心也似芥藍，適合清炒、涼拌等料理。將千寶菜汆燙後，涼拌芝麻綜合醬或沾沙拉、蠔油食用；或調製成雪裡紅。|有機認證|冷藏
(雞)烏骨雞-全雞|590|poultry|011-1.jpg,011-2.jpg|標裕牧場|2斤以上/包|25|鐵質含量高，適合燉四物。|HACCP|冷凍-18℃以下保存
(雞)珍珠嫩雞-半雞切塊|305|poultry|012-1.jpg,012-2.jpg|標裕牧場|600克±10%/包|25|雞飼料不添加動物性蛋白及抗生素，農場以放養方式飼養，讓雞隻有充分空間活動，環境好，雞隻健康，肉質更優質。已去除頸部、腳及內臟部分後再對半切塊，料理更方便。適合煮湯、拌炒、紅燒、燉煮、烤等各式料理。|HACCP|冷凍-18℃以下保存
(雞)三節翅(全翅)|120|poultry|013-1.jpg,013-2.jpg|標裕牧場|300克±10%,四隻裝/包|25|從翅膀上腕至翅膀尖端全部，富含膠質，適合燉、滷、烤或紅燒。|HACCP|冷凍-18℃以下保存
(雞)雞腿|205|poultry|014-1.jpg,014-2.jpg|標裕牧場|300克±10%,一隻/包|25|口感扎實，適合直接烤、滷。|HACCP|急速冷凍真空包裝
百香果|105|fruit|015-1.jpg,015-2.jpg|森林農場|600克±10%/包|25|百香果富含維他命A、C及鉀、鈣、鐵等營養素，夏天吃百香果，生津止渴，亦助消化。百香果擁有多種水果的香氣，酸甜又多汁，直接剖半挖取果肉食用，或與其他水果一起打成果汁。拌入優格、愛玉食用風味迷人，還可以調製成醬料做拌涼菜或肉類沾醬。置於常溫到表皮微皺為最佳食用時機。|無毒|常溫陰涼通風處
滿天星百香果|118|fruit|016-1.jpg,016-2.jpg|森林農場|600克±10%/包|25|果皮上有細小的斑點，因而得名，香氣足、甜度高，多汁香甜。可直接剖半挖取果肉、或打果汁。不須放到表皮微皺即可享用。|無毒|常溫陰涼通風處
火龍果(紅肉)|148|fruit|017-1.jpg,017-2.jpg|森林農場|700克±10%,2顆/包|25|火龍果含有花青素、維生素B、鈣、鐵等礦物質。連果皮也有豐富的花青素可別浪費，將火龍果皮洗淨，減去綠色部分果皮，切塊與果肉一起打成汁飲用。|有機認證|常溫陰涼通風處
芭蕉|98|fruit|018-1.jpg,018-2.jpg|向日農場|840克±10%/把|25|芭蕉和香蕉同屬於芭蕉科芭蕉屬，但外型上芭蕉較香蕉圓胖，果皮呈黃色，果肉呈乳白色。芭蕉含有維生素A、膳食纖維，鉀、鎂等。無毒安全種植，外觀稍醜但口感Q彈香甜。|無毒|常溫陰涼通風處
無籽檸檬|98|fruit|019-1.jpg,019-2.jpg|向日農場|840克±10%/把|25|無籽檸檬又稱萊姆，果皮光滑且薄，富含維生素C，適合泡檸檬水、入菜。|有機認證|冷藏
新興梨|75|fruit|020-1.jpg,020-2.jpg|吉園圃|7A,5~6兩/顆,1包2顆|25|一顆水梨要換穿三件衣服，依照成長階段合身訂製，再一一套上。如此厚工是為避免受蟲、鳥的攻擊和風吹日曬，才能長出圓滿甜蜜的新興梨。果型呈扁圓或橢圓，果皮光滑呈褐色，套袋後轉黃色。白色的果肉細緻多汁，口感清脆香甜。|吉園圃|連同外層塑膠袋置於冰箱冷藏保存
