null|1|備好食材，奶油切塊放室溫回軟、冷藏蛋要回溫。|null|null
null|1|將回軟的奶油和砂糖用打蛋器打至泛白絨毛狀，接著先加入一個蛋，打至完全吸收之後，再加下一顆蛋打勻，然後加入鮮奶拌勻，最後加入過篩的粉類用切拌方式至無粉粒。|null|null
null|1|取1/3～1/2量的步驟２之原味麵糊到另一鍋盆裡，加入巧克力醬後拌勻。|null|null
null|1|將二種麵糊交錯倒入已舖有烘培布(紙)的烤模中。|null|null
null|1|用筷子在麵糊裡畫圈，再送進已預熱１７０度Ｃ的烤箱中烤３５～４０分鐘。筷子插入蛋糕中心無沾麵糊即烘烤完成。（烘烤１０分鐘後可先取出，用利刀在中間畫一刀，可讓蛋糕均勻裂開）|null|null
null|1|出爐後取出脫模，放鐵網架上冷卻後切塊；或用保鮮模包好放密封盒裡靜置一晚，隔天再食用口感會較溼潤哦...|null|null
null|1|＊巧克力醬可用10g可可粉+15cc鮮奶替代。＊使用的磅蛋糕烤模尺寸的長寬高=17.5x8x7cm。＊成品在室溫可放２天；冷藏保存約１周。|null|null
null|2|先把材料量好，水可以直接用鍋子量。|null|null
null|2|水煮至冒小泡後加入黑糖拌至融化。|null|null
null|2|黑糖水滾後，將火調爲最小火，快速的一次加入地瓜粉，用刮刀或是木杓拌勻 P.s. 用中小火煮黑糖水才不會鍋子內緣燒焦。|null|null
null|2|保持最小火，快速拌勻後就可以熄火，會有一些小粉粒是正常現象。|null|null
null|2|粉糰稍微冷一點，就可以撒一點玉米粉在檯面開始揉到粉糰變的比較均勻一些。|null|null
null|2|將粉糰橄開到0.5公分厚。|null|null
null|2|想吃小顆可以用吸管吸的，就切成0.8公分的小方塊 我做的是比較大一點的，類似包心粉圓的大小，切成1.2公分左右的方塊。|null|null
null|2|切好的小方塊用手一個個搓圓，搓圓後可以沾一點點玉米粉以防沾黏 如果搓的時候太乾，可以在手上稍微沾微量的水再搓。|null|null
null|2|煮一鍋水，水大滾的時候加入珍珠，加珍珠後要立刻攪拌防沾鍋，煮15分鐘，之後蓋鍋蓋燜20分鐘。|null|null
null|2|燜好的珍珠用冷水洗涼。|null|null
null|2|最後在涼的珍珠裡加入黑糖或是喜歡的糖 例如，砂糖、黃糖、蜂蜜 稍微加多一點糖，之後放到飲料裡的時候就可以不需要再加糖。|null|null
null|2|沒有要一次煮完的珍珠，可以放到密封袋裡面，鋪平後放到冷凍庫冰到硬之後，再用報紙包起來冷凍可以保存更久也不會影響口感 煮的時候不需要解凍，依照平常煮珍珠的方式煮，但可以稍微延長燜的時間，依照煮的份量可延長5-8分，中途可打開檢查軟硬度。|null|null
